chunk_id,lenders,topic_intent,borrower_profile,asset_class,doc_type,loan_size_band,policy_fields,answerable_questions,confidence,last_verified
resimac_customer_tiers,RESIMAC,ELIGIBILITY,"COMMERCIAL, ABN_1_2YR, ABN_2_4YR, ABN_4_6YR, ABN_OVER_6YR, PROPERTY_BACKED, RENTER, SPOUSE_OWNED",ALL,"LOW_DOC, LITE_DOC, FULL_DOC",ALL,"MIN_ABN, MIN_GST, PROPERTY_REQUIRED, DEPOSIT_REQUIRED",Which tier applies to my ABN age? Do I need to own property? What credit score do I need? What deposit if I don't own property?,high,2026-06-28
resimac_interest_rates,RESIMAC,PRICING,"COMMERCIAL, PROPERTY_BACKED, ABN_OVER_6YR","MV_NEW, MV_USED, EV, PRIMARY, SECONDARY, TERTIARY",ALL,ALL,"BASE_RATE, RISK_LOADING, EV_DISCOUNT",What is the interest rate for a motor vehicle / EV / primary / secondary / tertiary asset? What risk loadings apply? How big is the PremiumPLUS discount?,high,2026-06-28
resimac_loan_limits,RESIMAC,LOAN_LIMITS,"COMMERCIAL, PROPERTY_BACKED, EXISTING_CLIENT","MV_NEW, MV_USED, EV, PRIMARY, SECONDARY, TERTIARY, MOTORBIKE","LOW_DOC, LITE_DOC, FULL_DOC","MEDIUM, LARGE, XLARGE","MAX_LOAN, MAX_TERM",How much can I borrow by tier and doc type? What is the max NAF per vehicle / motorbike? What are the total exposure limits? What loan terms are available?,high,2026-06-28
resimac_documentation,RESIMAC,DOCUMENTATION,"COMMERCIAL, SELF_EMPLOYED, VISA_HOLDER",ALL,"LOW_DOC, LITE_DOC, FULL_DOC",ALL,DOC_TYPE,What documents are required for Low/Lite/Full Doc? What are the Lite Doc turnover conditions? Who must be a guarantor? When must privacy consent be signed?,high,2026-06-28
resimac_fees_brokerage,RESIMAC,FEES,COMMERCIAL,ALL,ALL,ALL,BROKERAGE_MAX,What are the setup and monthly fees? What is the max brokerage? How does brokerage above 5.5% affect the rate?,high,2026-06-28
resimac_asset_categories,RESIMAC,ASSET_ELIGIBILITY,COMMERCIAL,"MV_NEW, MV_USED, EV, LCV, PRIMARY, SECONDARY, TERTIARY, CARAVAN, MOTORBIKE",ALL,ALL,ASSET_AGE_MAX,Which category does an asset fall into? What is the max asset age at end of term? What balloon percentages apply by term?,high,2026-06-28
resimac_exclusions,RESIMAC,EXCLUSIONS,"COMMERCIAL, DISCHARGED_BANKRUPT",ALL,ALL,ALL,ASSET_AGE_MAX,Is this asset excluded? Can I get a consumer loan? Is sale and buyback allowed? Are discharged bankrupts accepted?,high,2026-06-28
resimac_settlement,RESIMAC,SETTLEMENT,COMMERCIAL,ALL,ALL,ALL,PPSR,What is required before settlement? When is a Certificate of Currency needed? How are valuations handled? Is PPSR registration required?,high,2026-06-28
bfs_customer_tiers,BFS,ELIGIBILITY,"CONSUMER, COMMERCIAL, HIGH_CREDIT, MID_CREDIT, LOW_CREDIT, SUBPRIME, DISCHARGED_BANKRUPT","MV_NEW, MV_USED, LCV, MOTORBIKE, CARAVAN",ALL,ALL,"MIN_CREDIT_SCORE, DEPOSIT_REQUIRED",Which BFS tier does my Experian score qualify for? What deposit is required by tier? What are the auto-decline triggers? What RHI standards apply?,high,2026-06-28
bfs_commercial_rates,BFS,PRICING,"COMMERCIAL, HIGH_CREDIT, MID_CREDIT, LOW_CREDIT","MV_NEW, MV_USED, LCV","LOW_DOC, FULL_DOC",ALL,"BASE_RATE, RISK_LOADING, PRIVATE_SALE_LOADING",What is the commercial base rate by tier and vehicle age? What is the max broker margin and rate cap? What is the non-asset-backed loading?,high,2026-06-28
bfs_consumer_rates,BFS,PRICING,"CONSUMER, HIGH_CREDIT, MID_CREDIT, LOW_CREDIT, SUBPRIME","MV_NEW, MV_USED, LCV, MOTORBIKE, CARAVAN",FULL_DOC,ALL,"BASE_RATE, RISK_LOADING, PRIVATE_SALE_LOADING",What is the consumer max rate by tier and vehicle age? What loadings and discounts apply? What is the BFS Plus max rate?,high,2026-06-28
bfs_loan_limits_terms,BFS,LOAN_LIMITS,"CONSUMER, COMMERCIAL, HIGH_CREDIT, MID_CREDIT","MV_NEW, MV_USED, LCV, MOTORBIKE, CARAVAN",ALL,"SMALL, MEDIUM, LARGE","MAX_LOAN, MAX_TERM, ASSET_AGE_MAX",How much can I borrow (PRIME vs BFS Plus)? What is the high-value loan range? What are the max terms and max vehicle age? What LVR applies?,high,2026-06-28
bfs_commercial_documentation,BFS,DOCUMENTATION,"COMMERCIAL, SELF_EMPLOYED, NEW_BUSINESS, VISA_HOLDER","MV_NEW, MV_USED, LCV","LOW_DOC, FULL_DOC, NEW_BIZ","SMALL, MEDIUM, LARGE","DOC_TYPE, MIN_ABN",What documents are required for commercial Low Doc / Full Doc / New Business Ventures? What trading history and deposit apply? What income evidence is needed above $100k?,high,2026-06-28
