Initialising embedding model and ChromaDB...
LLM is explicitly disabled. Using MockLLM.
Ready.

======================================================================
RETRIEVAL ACCURACY TEST SUITE
Project CMAP 2026 � Group 2
======================================================================
[1/175] [RES-02] Resimac | PRICING | easy | score=2 | source=PASS
[2/175] [RES-03] Resimac | PRICING | medium | score=4 | source=PASS
[3/175] [RES-01] Resimac | ELIGIBILITY | easy | score=4 | source=PASS
[4/175] [RES-04] Resimac | LOAN_LIMITS | medium | score=4 | source=PASS
[5/175] [RES-06] Resimac | ASSET_ELIGIBILITY | easy | score=4 | source=PASS
[6/175] [RES-07] Resimac | EXCLUSIONS | easy | score=2 | source=FAIL
[7/175] [RES-05] Resimac | DOCUMENTATION | medium | score=4 | source=PASS
[8/175] [RES-08] Resimac | FEES | medium | score=4 | source=PASS
[9/175] [RES-10] Resimac | SETTLEMENT | easy | score=3 | source=PASS
[10/175] [RES-09] Resimac | ELIGIBILITY | medium | score=3 | source=PASS
[11/175] [RES-12] Resimac | LOAN_LIMITS | medium | score=2 | source=PASS
[12/175] [RES-13] Resimac | ASSET_ELIGIBILITY | medium | score=3 | source=PASS
[13/175] [RES-11] Resimac | ELIGIBILITY | medium | score=3 | source=PASS
[14/175] [RES-14] Resimac | PRICING | hard | score=3 | source=PASS
[15/175] [RES-15] Resimac | LOAN_LIMITS | medium | score=3 | source=PASS
[16/175] [RES-16] Resimac | ELIGIBILITY | easy | score=3 | source=PASS
[17/175] [RES-18] Resimac | DOCUMENTATION | medium | score=4 | source=PASS
[18/175] [RES-19] Resimac | PRICING | easy | score=3 | source=PASS
[19/175] [RES-17] Resimac | EXCLUSIONS | medium | score=4 | source=PASS
[20/175] [RES-20] Resimac | ASSET_ELIGIBILITY | medium | score=2 | source=FAIL
[21/175] [RES-23] Resimac | PRICING | easy | score=4 | source=PASS
[22/175] [RES-22] Resimac | EXCLUSIONS | easy | score=4 | source=PASS
[23/175] [RES-21] Resimac | ELIGIBILITY | easy | score=4 | source=PASS
[24/175] [RES-24] Resimac | LOAN_LIMITS | medium | score=3 | source=PASS
[25/175] [BFS-02] BFS | ELIGIBILITY | medium | score=1 | source=FAIL
[26/175] [BFS-01] BFS | ELIGIBILITY | easy | score=4 | source=PASS
[27/175] [RES-25] Resimac | SETTLEMENT | medium | score=4 | source=PASS
[28/175] [BFS-03] BFS | PRICING | medium | score=3 | source=PASS
[29/175] [BFS-05] BFS | ASSET_ELIGIBILITY | easy | score=2 | source=PASS
[30/175] [BFS-06] BFS | EXCLUSIONS | easy | score=4 | source=PASS
[31/175] [BFS-04] BFS | LOAN_LIMITS | medium | score=3 | source=PASS
[32/175] [BFS-08] BFS | FEES | medium | score=3 | source=PASS
[33/175] [BFS-07] BFS | ASSET_ELIGIBILITY | medium | score=1 | source=FAIL
[34/175] [BFS-09] BFS | ELIGIBILITY | medium | score=4 | source=PASS
[35/175] [BFS-11] BFS | PRICING | medium | score=3 | source=PASS
[36/175] [BFS-12] BFS | PRICING | hard | score=3 | source=PASS
[37/175] [BFS-10] BFS | LOAN_LIMITS | medium | score=4 | source=PASS
[38/175] [BFS-13] BFS | FEES | easy | score=2 | source=PASS
[39/175] [BFS-15] BFS | DOCUMENTATION | medium | score=1 | source=FAIL
[40/175] [BFS-16] BFS | ELIGIBILITY | easy | score=4 | source=PASS
[41/175] [BFS-17] BFS | LOAN_LIMITS | easy | score=2 | source=PASS
[42/175] [BFS-14] BFS | ASSET_ELIGIBILITY | medium | score=4 | source=PASS
[43/175] [BFS-18] BFS | DOCUMENTATION | medium | score=4 | source=PASS
[44/175] [BFS-19] BFS | PRICING | medium | score=4 | source=PASS
[45/175] [BFS-20] BFS | ASSET_ELIGIBILITY | easy | score=2 | source=FAIL
[46/175] [BFS-22] BFS | ASSET_ELIGIBILITY | easy | score=2 | source=PASS
[47/175] [BFS-21] BFS | ELIGIBILITY | easy | score=2 | source=FAIL
[48/175] [BFS-23] BFS | LOAN_LIMITS | medium | score=4 | source=PASS
[49/175] [BFS-24] BFS | EXCLUSIONS | medium | score=4 | source=PASS
[50/175] [BFS-25] BFS | PRICING | medium | score=4 | source=PASS
[51/175] [WBC-01] Westpac | ELIGIBILITY | easy | score=2 | source=PASS
[52/175] [WBC-05] Westpac | SPECIAL_PROGRAMS | easy | score=3 | source=PASS
[53/175] [WBC-04] Westpac | SPECIAL_PROGRAMS | medium | score=3 | source=PASS
[54/175] [WBC-03] Westpac | PRICING | medium | score=3 | source=PASS
[55/175] [WBC-02] Westpac | LOAN_LIMITS | medium | score=4 | source=PASS
[56/175] [WBC-06] Westpac | SPECIAL_PROGRAMS | medium | score=2 | source=PASS
[57/175] [WBC-08] Westpac | SETTLEMENT | hard | score=2 | source=PASS
[58/175] [WBC-07] Westpac | SPECIAL_PROGRAMS | medium | score=3 | source=PASS
[59/175] [WBC-09] Westpac | PRICING | medium | score=3 | source=PASS
[60/175] [WBC-10] Westpac | EXCLUSIONS | medium | score=4 | source=PASS
[61/175] [WBC-12] Westpac | ASSET_ELIGIBILITY | medium | score=3 | source=PASS
[62/175] [WBC-11] Westpac | PRICING | medium | score=3 | source=PASS
[63/175] [WBC-13] Westpac | SPECIAL_PROGRAMS | hard | score=4 | source=PASS
[64/175] [WBC-14] Westpac | PRICING | medium | score=3 | source=PASS
[65/175] [WBC-16] Westpac | ELIGIBILITY | easy | score=2 | source=FAIL
[66/175] [WBC-17] Westpac | LOAN_LIMITS | medium | score=3 | source=PASS
[67/175] [WBC-18] Westpac | SETTLEMENT | medium | score=2 | source=PASS
[68/175] [WBC-19] Westpac | PRICING | easy | score=4 | source=PASS
[69/175] [WBC-20] Westpac | SPECIAL_PROGRAMS | medium | score=3 | source=PASS
[70/175] [WBC-15] Westpac | ELIGIBILITY | medium | score=4 | source=PASS
[71/175] [WBC-22] Westpac | SPECIAL_PROGRAMS | easy | score=4 | source=PASS
[72/175] [WBC-23] Westpac | PRICING | medium | score=3 | source=PASS
[73/175] [WBC-24] Westpac | EXCLUSIONS | easy | score=3 | source=PASS
[74/175] [CFA-02] CFAL | DOCUMENTATION | medium | score=4 | source=PASS
[75/175] [WBC-25] Westpac | SPECIAL_PROGRAMS | easy | score=2 | source=PASS
[76/175] [CFA-01] CFAL | ELIGIBILITY | easy | score=4 | source=PASS
[77/175] [CFA-04] CFAL | SPECIAL_PROGRAMS | medium | score=3 | source=PASS
[78/175] [WBC-21] Westpac | ASSET_ELIGIBILITY | easy | score=2 | source=PASS
[79/175] [CFA-05] CFAL | SPECIAL_PROGRAMS | medium | score=2 | source=PASS
[80/175] [CFA-03] CFAL | ELIGIBILITY | medium | score=1 | source=FAIL
[81/175] [CFA-08] CFAL | EXCLUSIONS | medium | score=2 | source=PASS
[82/175] [CFA-06] CFAL | SPECIAL_PROGRAMS | medium | score=2 | source=PASS
[83/175] [CFA-09] CFAL | SPECIAL_PROGRAMS | hard | score=3 | source=PASS
[84/175] [CFA-07] CFAL | SETTLEMENT | hard | score=2 | source=PASS
[85/175] [CFA-10] CFAL | ELIGIBILITY | easy | score=3 | source=PASS
[86/175] [CFA-13] CFAL | SPECIAL_PROGRAMS | medium | score=3 | source=PASS
[87/175] [CFA-12] CFAL | LOAN_LIMITS | medium | score=3 | source=PASS
[88/175] [CFA-11] CFAL | DOCUMENTATION | hard | score=4 | source=PASS
[89/175] [CFA-15] CFAL | EXCLUSIONS | medium | score=3 | source=PASS
[90/175] [CFA-16] CFAL | ELIGIBILITY | medium | score=4 | source=PASS
[91/175] [CFA-18] CFAL | ASSET_ELIGIBILITY | medium | score=4 | source=PASS
[92/175] [CFA-14] CFAL | SPECIAL_PROGRAMS | medium | score=3 | source=PASS
[93/175] [CFA-17] CFAL | DOCUMENTATION | medium | score=4 | source=PASS
[94/175] [CFA-21] CFAL | ELIGIBILITY | easy | score=3 | source=PASS
[95/175] [CFA-19] CFAL | SETTLEMENT | medium | score=2 | source=PASS
[96/175] [CFA-22] CFAL | ELIGIBILITY | easy | score=2 | source=FAIL
[97/175] [CFA-20] CFAL | SPECIAL_PROGRAMS | medium | score=1 | source=FAIL
[98/175] [CFA-25] CFAL | DOCUMENTATION | medium | score=3 | source=PASS
[99/175] [CFA-23] CFAL | EXCLUSIONS | easy | score=3 | source=PASS
[100/175] [CFA-24] CFAL | SPECIAL_PROGRAMS | easy | score=4 | source=PASS
[101/175] [ANG-03] Angle | SPECIAL_PROGRAMS | medium | score=1 | source=FAIL
[102/175] [ANG-04] Angle | SPECIAL_PROGRAMS | medium | score=2 | source=FAIL
[103/175] [ANG-02] Angle | EXCLUSIONS | easy | score=4 | source=PASS
[104/175] [ANG-06] Angle | FEES | easy | score=2 | source=PASS
[105/175] [ANG-05] Angle | ELIGIBILITY | easy | score=4 | source=PASS
[106/175] [ANG-07] Angle | LOAN_LIMITS | medium | score=1 | source=FAIL
[107/175] [ANG-08] Angle | EXCLUSIONS | easy | score=2 | source=PASS
[108/175] [ANG-10] Angle | LOAN_LIMITS | medium | score=2 | source=PASS
[109/175] [ANG-09] Angle | SETTLEMENT | medium | score=3 | source=PASS
[110/175] [ANG-01] Angle | SPECIAL_PROGRAMS | medium | score=4 | source=PASS
[111/175] [ANG-11] Angle | DOCUMENTATION | medium | score=1 | source=FAIL
[112/175] [ANG-12] Angle | PRICING | medium | score=1 | source=FAIL
[113/175] [ANG-13] Angle | SPECIAL_PROGRAMS | medium | score=1 | source=FAIL
[114/175] [ANG-14] Angle | SPECIAL_PROGRAMS | medium | score=2 | source=PASS
[115/175] [ANG-16] Angle | LOAN_LIMITS | medium | score=2 | source=PASS
[116/175] [ANG-17] Angle | PRICING | easy | score=2 | source=PASS
[117/175] [ANG-15] Angle | DOCUMENTATION | hard | score=4 | source=PASS
[118/175] [ANG-18] Angle | DOCUMENTATION | medium | score=2 | source=PASS
[119/175] [ANG-19] Angle | ELIGIBILITY | medium | score=4 | source=PASS
[120/175] [ANG-23] Angle | SPECIAL_PROGRAMS | medium | score=2 | source=PASS
[121/175] [ANG-21] Angle | SPECIAL_PROGRAMS | easy | score=1 | source=FAIL
[122/175] [ANG-22] Angle | SPECIAL_PROGRAMS | easy | score=4 | source=PASS
[123/175] [ANG-20] Angle | EXCLUSIONS | medium | score=3 | source=PASS
[124/175] [ANG-24] Angle | FEES | easy | score=1 | source=FAIL
[125/175] [ANG-25] Angle | PRICING | medium | score=3 | source=PASS
[126/175] [MET-01] Metro | PRICING | easy | score=2 | source=PASS
[127/175] [MET-02] Metro | PRICING | medium | score=3 | source=PASS
[128/175] [MET-03] Metro | SPECIAL_PROGRAMS | medium | score=2 | source=PASS
[129/175] [MET-04] Metro | LOAN_LIMITS | medium | score=3 | source=PASS
[130/175] [MET-05] Metro | ASSET_ELIGIBILITY | easy | score=2 | source=PASS
[131/175] [MET-08] Metro | SPECIAL_PROGRAMS | medium | score=2 | source=PASS
[132/175] [MET-06] Metro | SPECIAL_PROGRAMS | medium | score=3 | source=PASS
[133/175] [MET-09] Metro | SPECIAL_PROGRAMS | medium | score=1 | source=FAIL
[134/175] [MET-07] Metro | ASSET_ELIGIBILITY | medium | score=2 | source=PASS
[135/175] [MET-10] Metro | EXCLUSIONS | medium | score=2 | source=FAIL
[136/175] [MET-13] Metro | SPECIAL_PROGRAMS | medium | score=3 | source=PASS
[137/175] [MET-11] Metro | LOAN_LIMITS | medium | score=3 | source=PASS
[138/175] [MET-12] Metro | ASSET_ELIGIBILITY | medium | score=2 | source=PASS
[139/175] [MET-14] Metro | SPECIAL_PROGRAMS | medium | score=2 | source=PASS
[140/175] [MET-15] Metro | LOAN_LIMITS | medium | score=2 | source=PASS
[141/175] [MET-17] Metro | FEES | easy | score=2 | source=PASS
[142/175] [MET-16] Metro | PRICING | medium | score=4 | source=PASS
[143/175] [MET-18] Metro | SPECIAL_PROGRAMS | medium | score=4 | source=PASS
[144/175] [MET-19] Metro | EXCLUSIONS | medium | score=3 | source=PASS
[145/175] [MET-20] Metro | ELIGIBILITY | medium | score=2 | source=PASS
[146/175] [MET-21] Metro | EXCLUSIONS | easy | score=2 | source=PASS
[147/175] [MET-23] Metro | SPECIAL_PROGRAMS | medium | score=3 | source=PASS
[148/175] [MET-22] Metro | ASSET_ELIGIBILITY | easy | score=4 | source=PASS
[149/175] [MET-24] Metro | SPECIAL_PROGRAMS | medium | score=4 | source=PASS
[150/175] [FLX-01] Flexi | PRICING | medium | score=3 | source=PASS
[151/175] [FLX-03] Flexi | PRICING | medium | score=3 | source=PASS
[152/175] [FLX-02] Flexi | ELIGIBILITY | medium | score=4 | source=PASS
[153/175] [MET-25] Metro | LOAN_LIMITS | medium | score=2 | source=FAIL
[154/175] [FLX-07] Flexi | ASSET_ELIGIBILITY | medium | score=2 | source=PASS
[155/175] [FLX-06] Flexi | ASSET_ELIGIBILITY | easy | score=4 | source=PASS
[156/175] [FLX-05] Flexi | LOAN_LIMITS | medium | score=4 | source=PASS
[157/175] [FLX-04] Flexi | PRICING | hard | score=4 | source=PASS
[158/175] [FLX-10] Flexi | FEES | easy | score=2 | source=PASS
[159/175] [FLX-08] Flexi | SPECIAL_PROGRAMS | medium | score=3 | source=PASS
[160/175] [FLX-11] Flexi | FEES | medium | score=4 | source=PASS
[161/175] [FLX-12] Flexi | ASSET_ELIGIBILITY | medium | score=1 | source=FAIL
[162/175] [FLX-13] Flexi | LOAN_LIMITS | hard | score=3 | source=PASS
[163/175] [FLX-14] Flexi | SPECIAL_PROGRAMS | medium | score=1 | source=FAIL
[164/175] [FLX-09] Flexi | SPECIAL_PROGRAMS | hard | score=3 | source=PASS
[165/175] [FLX-17] Flexi | ASSET_ELIGIBILITY | medium | score=1 | source=FAIL
[166/175] [FLX-16] Flexi | ELIGIBILITY | medium | score=3 | source=PASS
[167/175] [FLX-18] Flexi | LOAN_LIMITS | medium | score=1 | source=FAIL
[168/175] [FLX-19] Flexi | EXCLUSIONS | medium | score=3 | source=PASS
[169/175] [FLX-20] Flexi | SPECIAL_PROGRAMS | medium | score=4 | source=PASS
[170/175] [FLX-21] Flexi | ASSET_ELIGIBILITY | easy | score=4 | source=PASS
[171/175] [FLX-23] Flexi | EXCLUSIONS | medium | score=4 | source=PASS
[172/175] [FLX-22] Flexi | PRICING | easy | score=2 | source=FAIL
[173/175] [FLX-24] Flexi | PRICING | medium | score=3 | source=PASS
[174/175] [FLX-15] Flexi | SPECIAL_PROGRAMS | medium | score=4 | source=PASS
[175/175] [FLX-25] Flexi | ASSET_ELIGIBILITY | medium | score=1 | source=FAIL

======================================================================
FINAL RESULTS
======================================================================
Questions tested:     175
Average score:        2.83/4
Perfect scores (4/4): 55/175 (31%)
Source hit rate:      84%

By lender:
  Resimac: avg 3.32/4 (25 questions)
  BFS: avg 2.96/4 (25 questions)
  Westpac: avg 2.96/4 (25 questions)
  CFAL: avg 2.88/4 (25 questions)
  Angle: avg 2.32/4 (25 questions)
  Metro: avg 2.56/4 (25 questions)
  Flexi: avg 2.84/4 (25 questions)

By category:
  ASSET_ELIGIBILITY: avg 2.48/4 (21 questions)
  DOCUMENTATION: avg 3.18/4 (11 questions)
  ELIGIBILITY: avg 3.08/4 (24 questions)
  EXCLUSIONS: avg 3.11/4 (18 questions)
  FEES: avg 2.50/4 (8 questions)
  LOAN_LIMITS: avg 2.76/4 (21 questions)
  PRICING: avg 3.04/4 (27 questions)
  SETTLEMENT: avg 2.57/4 (7 questions)
  SPECIAL_PROGRAMS: avg 2.66/4 (38 questions)
======================================================================
