======================================================================
RETRIEVAL ACCURACY TEST SUITE - WEEK 3 RESULTS
Project CMAP 2026 - Group 2
======================================================================

IMPORTANT CAVEAT
----------------------------------------------------------------------
This run hit the Groq free-tier account's DAILY token cap (500,000
TPD) partway through, after an earlier run (also against this
account) had already consumed a large share of the daily budget.
54 of 175 questions could not get an LLM response and are EXCLUDED
from the scores below rather than counted as failures.

The exclusions are NOT evenly distributed - they landed almost
entirely on Metro and Flexi (the questions that happened to run
last, after the quota was gone):
  Resimac   : 23/25 scored, 2/25 excluded (quota)
  BFS       : 25/25 scored, 0/25 excluded (quota)
  Westpac   : 22/25 scored, 3/25 excluded (quota)
  CFAL      : 23/25 scored, 2/25 excluded (quota)
  Angle     : 22/25 scored, 3/25 excluded (quota)
  Metro     : 2/25 scored, 23/25 excluded (quota)
  Flexi     : 4/25 scored, 21/25 excluded (quota)

=> Metro (2/25 scored) and Flexi (4/25 scored) sample sizes are too
   small to be meaningful. Their per-lender averages below should
   NOT be read as representative. Rerun the excluded questions
   below once the daily quota resets.

Excluded question IDs (54):
  RES-17, RES-21, WBC-12, WBC-19, WBC-21, CFA-18, CFA-23, ANG-19, ANG-23, MET-02, MET-03, MET-04, ANG-25, MET-05, MET-06, MET-07, MET-08, MET-10, MET-11, MET-12, MET-13, MET-14, MET-15, MET-16, MET-17, MET-18, MET-19, MET-20, MET-21, MET-22, MET-23, MET-24, MET-25, FLX-01, FLX-02, FLX-03, FLX-04, FLX-06, FLX-08, FLX-09, FLX-05, FLX-12, FLX-13, FLX-15, FLX-16, FLX-17, FLX-18, FLX-11, FLX-19, FLX-20, FLX-21, FLX-23, FLX-24, FLX-25

======================================================================
RESULTS (valid / successfully-scored questions only)
======================================================================
Questions scored:     121 of 175 attempted (54 excluded, see above)
Average score:        2.91/4
Perfect scores (4/4): 48/121 (40%)
Source hit rate:      82%

By lender (of scored questions - see caveat above for N):
  Resimac: avg 3.30/4 (23 questions)
  BFS: avg 2.96/4 (25 questions)
  Westpac: avg 3.23/4 (22 questions)
  CFAL: avg 3.04/4 (23 questions)
  Angle: avg 2.27/4 (22 questions)
  Metro: avg 1.50/4 (2 questions)
  Flexi: avg 2.00/4 (4 questions)

By category:
  ASSET_ELIGIBILITY: avg 2.89/4 (9 questions)
  DOCUMENTATION: avg 3.18/4 (11 questions)
  ELIGIBILITY: avg 3.05/4 (19 questions)
  EXCLUSIONS: avg 3.36/4 (11 questions)
  FEES: avg 2.33/4 (6 questions)
  LOAN_LIMITS: avg 2.71/4 (14 questions)
  PRICING: avg 3.00/4 (19 questions)
  SETTLEMENT: avg 3.14/4 (7 questions)
  SPECIAL_PROGRAMS: avg 2.60/4 (25 questions)
======================================================================

PER-QUESTION DETAIL
----------------------------------------------------------------------
[  1/175] [RES-01] Resimac   | ELIGIBILITY        | easy   | score=4 | PASS
[  2/175] [RES-02] Resimac   | PRICING            | easy   | score=2 | PASS
[  3/175] [RES-04] Resimac   | LOAN_LIMITS        | medium | score=4 | PASS
[  4/175] [RES-03] Resimac   | PRICING            | medium | score=4 | PASS
[  5/175] [RES-05] Resimac   | DOCUMENTATION      | medium | score=3 | PASS
[  6/175] [RES-06] Resimac   | ASSET_ELIGIBILITY  | easy   | score=4 | PASS
[  7/175] [RES-08] Resimac   | FEES               | medium | score=4 | PASS
[  8/175] [RES-07] Resimac   | EXCLUSIONS         | easy   | score=2 | FAIL
[  9/175] [RES-10] Resimac   | SETTLEMENT         | easy   | score=3 | PASS
[ 10/175] [RES-11] Resimac   | ELIGIBILITY        | medium | score=4 | PASS
[ 11/175] [RES-14] Resimac   | PRICING            | hard   | score=2 | PASS
[ 12/175] [RES-12] Resimac   | LOAN_LIMITS        | medium | score=2 | PASS
[ 13/175] [RES-16] Resimac   | ELIGIBILITY        | easy   | score=3 | PASS
[ 14/175] [RES-15] Resimac   | LOAN_LIMITS        | medium | score=3 | PASS
[ 15/175] [RES-18] Resimac   | DOCUMENTATION      | medium | score=4 | PASS
[ 16/175] [RES-19] Resimac   | PRICING            | easy   | score=4 | PASS
[ 17/175] [RES-20] Resimac   | ASSET_ELIGIBILITY  | medium | score=2 | FAIL
[ 18/175] [RES-09] Resimac   | ELIGIBILITY        | medium | score=4 | PASS
[ 19/175] [RES-22] Resimac   | EXCLUSIONS         | easy   | score=4 | PASS
[ 20/175] [RES-23] Resimac   | PRICING            | easy   | score=4 | PASS
[ 21/175] [RES-24] Resimac   | LOAN_LIMITS        | medium | score=2 | PASS
[ 22/175] [RES-25] Resimac   | SETTLEMENT         | medium | score=4 | PASS
[ 23/175] [BFS-01] BFS       | ELIGIBILITY        | easy   | score=2 | PASS
[ 24/175] [BFS-02] BFS       | ELIGIBILITY        | medium | score=1 | FAIL
[ 25/175] [BFS-03] BFS       | PRICING            | medium | score=3 | PASS
[ 26/175] [BFS-04] BFS       | LOAN_LIMITS        | medium | score=3 | PASS
[ 27/175] [BFS-05] BFS       | ASSET_ELIGIBILITY  | easy   | score=2 | PASS
[ 28/175] [BFS-06] BFS       | EXCLUSIONS         | easy   | score=4 | PASS
[ 29/175] [BFS-07] BFS       | ASSET_ELIGIBILITY  | medium | score=1 | FAIL
[ 30/175] [BFS-08] BFS       | FEES               | medium | score=3 | PASS
[ 31/175] [BFS-09] BFS       | ELIGIBILITY        | medium | score=4 | PASS
[ 32/175] [BFS-10] BFS       | LOAN_LIMITS        | medium | score=4 | PASS
[ 33/175] [BFS-11] BFS       | PRICING            | medium | score=3 | PASS
[ 34/175] [BFS-12] BFS       | PRICING            | hard   | score=3 | PASS
[ 35/175] [BFS-13] BFS       | FEES               | easy   | score=2 | PASS
